,clock,job_id,tipo,instante
0,20,1,Chegada,20
1,20,2,Chegada,20
2,20,1,Ingresso,0
3,20,2,Ingresso,0
4,20,1,ReqDisp,0
5,20,2,ReqDisp,0
6,20,1,ReqMem,0
7,20,2,ReqMem,0
8,20,1,ReqProcess,0
9,20,2,ReqProcess,0
10,20,1,Executando,0
11,20,2,Executando,0
12,21,1,Executando,21
13,21,2,Executando,21
14,22,1,Executando,22
15,22,2,Executando,22
16,23,1,Executando,23
17,23,2,Executando,23
18,24,1,Executando,24
19,24,2,Executando,24
20,25,1,Executando,25
21,25,2,Executando,25
22,26,1,Executando,26
23,26,2,Executando,26
24,27,1,Executando,27
25,27,2,Executando,27
26,28,1,Executando,28
27,28,2,Executando,28
28,29,1,Executando,29
29,29,2,Executando,29
30,30,1,Executando,30
31,30,2,Executando,30
32,31,1,Executando,31
33,31,2,Executando,31
34,32,1,Executando,32
35,32,2,Executando,32
36,33,1,Executando,33
37,33,2,Executando,33
38,34,1,Executando,34
39,34,2,Executando,34
40,35,1,Executando,35
41,35,2,Executando,35
42,36,1,Executando,36
43,36,2,Executando,36
44,37,1,Executando,37
45,37,2,Executando,37
46,38,1,Executando,38
47,38,2,Executando,38
48,39,1,Executando,39
49,39,2,Executando,39
50,40,1,Executando,40
51,40,2,Executando,40
52,41,1,Executando,41
53,41,2,Executando,41
54,42,1,Executando,42
55,42,2,Executando,42
56,43,1,Executando,43
57,43,2,Executando,43
58,44,1,Executando,44
59,44,2,Executando,44
60,45,1,Executando,45
61,45,2,Executando,45
62,46,1,Executando,46
63,46,2,Executando,46
64,47,1,Executando,47
65,47,2,Executando,47
66,48,1,Executando,48
67,48,2,Executando,48
68,49,1,Executando,49
69,49,2,Executando,49
70,50,1,Executando,50
71,50,2,Executando,50
72,51,1,Executando,51
73,51,2,Executando,51
74,52,1,Executando,52
75,52,2,Executando,52
76,53,1,Executando,53
77,53,2,Executando,53
78,54,1,Executando,54
79,54,2,Executando,54
80,55,1,Executando,55
81,55,2,Executando,55
82,56,1,Executando,56
83,56,2,Executando,56
84,57,1,Executando,57
85,57,2,Executando,57
86,58,1,Executando,58
87,58,2,Executando,58
88,59,1,Executando,59
89,59,2,Executando,59
90,60,1,Executando,60
91,60,2,Executando,60
92,61,1,Executando,61
93,61,2,Executando,61
94,62,1,Executando,62
95,62,2,Executando,62
96,63,1,Executando,63
97,63,2,Executando,63
98,64,1,Executando,64
99,64,2,Executando,64
100,65,1,Executando,65
101,65,2,Executando,65
102,66,1,Executando,66
103,66,2,Executando,66
104,67,1,Executando,67
105,67,2,Executando,67
106,68,1,Executando,68
107,68,2,Executando,68
108,69,1,Executando,69
109,69,2,Executando,69
110,70,1,Executando,70
111,70,2,Executando,70
112,71,1,Executando,71
113,71,2,Executando,71
114,72,1,Executando,72
115,72,2,Executando,72
116,73,1,Executando,73
117,73,2,Executando,73
118,74,1,Executando,74
119,74,2,Executando,74
120,75,1,Executando,75
121,75,2,Executando,75
122,76,1,Executando,76
123,76,2,Executando,76
124,77,1,Executando,77
125,77,2,Executando,77
126,78,1,Executando,78
127,78,2,Executando,78
128,79,1,Executando,79
129,79,2,Executando,79
130,80,1,Executando,80
131,80,2,Executando,80
132,81,1,Executando,81
133,81,2,Executando,81
134,82,1,Executando,82
135,82,2,Executando,82
136,83,1,Executando,83
137,83,2,Executando,83
138,84,1,Executando,84
139,84,2,Executando,84
140,85,1,Executando,85
141,85,2,Executando,85
142,86,1,Executando,86
143,86,2,Executando,86
144,87,1,Executando,87
145,87,2,Executando,87
146,88,1,Executando,88
147,88,2,Executando,88
148,89,1,Executando,89
149,89,2,Executando,89
150,90,1,Executando,90
151,90,2,Executando,90
152,91,1,Executando,91
153,91,2,Executando,91
154,92,1,Executando,92
155,92,2,Executando,92
156,93,1,Executando,93
157,93,2,Executando,93
158,94,1,Executando,94
159,94,2,Executando,94
160,95,1,Executando,95
161,95,2,Executando,95
162,96,1,Executando,96
163,96,2,Executando,96
164,97,1,Executando,97
165,97,2,Executando,97
166,98,1,Executando,98
167,98,2,Executando,98
168,99,1,Executando,99
169,99,2,Executando,99
170,100,1,Executando,100
171,100,2,Executando,100
172,101,1,Executando,101
173,101,2,Executando,101
174,102,1,Executando,102
175,102,2,Executando,102
176,103,1,Executando,103
177,103,2,Executando,103
178,104,1,Executando,104
179,104,2,Executando,104
180,105,1,Executando,105
181,105,2,Executando,105
182,106,1,Executando,106
183,106,2,Executando,106
184,107,1,Executando,107
185,107,2,Executando,107
186,108,1,Executando,108
187,108,2,Executando,108
188,109,1,Executando,109
189,109,2,Executando,109
190,110,1,Executando,110
191,110,2,Executando,110
192,111,1,Executando,111
193,111,2,Executando,111
194,112,1,Executando,112
195,112,2,Executando,112
196,113,1,Executando,113
197,113,2,Executando,113
198,114,1,Executando,114
199,114,2,Executando,114
200,115,1,Executando,115
201,115,2,Executando,115
202,116,1,Executando,116
203,116,2,Executando,116
204,117,1,Executando,117
205,117,2,Executando,117
206,118,1,Executando,118
207,118,2,Executando,118
208,119,1,Executando,119
209,119,2,Executando,119
210,120,1,Executando,120
211,120,2,Executando,120
212,121,1,Executando,121
213,121,2,Executando,121
214,122,1,Executando,122
215,122,2,Executando,122
216,123,1,Executando,123
217,123,2,Executando,123
218,124,1,Executando,124
219,124,2,Executando,124
220,125,1,Executando,125
221,125,2,Executando,125
222,126,1,Executando,126
223,126,2,Executando,126
224,127,1,Executando,127
225,127,2,Executando,127
226,128,1,Executando,128
227,128,2,Executando,128
228,129,1,Executando,129
229,129,2,Executando,129
230,130,1,Executando,130
231,130,2,Executando,130
232,131,1,Executando,131
233,131,2,Executando,131
234,132,1,Executando,132
235,132,2,Executando,132
236,133,1,Executando,133
237,133,2,Executando,133
238,134,1,Executando,134
239,134,2,Executando,134
240,135,1,Executando,135
241,135,2,Executando,135
242,136,1,Executando,136
243,136,2,Executando,136
244,137,1,Executando,137
245,137,2,Executando,137
246,138,1,Executando,138
247,138,2,Executando,138
248,139,1,Executando,139
249,139,2,Executando,139
250,140,1,Executando,140
251,140,2,Executando,140
252,141,1,Executando,141
253,141,2,Executando,141
254,142,1,Executando,142
255,142,2,Executando,142
256,143,1,Executando,143
257,143,2,Executando,143
258,144,1,Executando,144
259,144,2,Executando,144
260,145,1,Executando,145
261,145,2,Executando,145
262,146,1,Executando,146
263,146,2,Executando,146
264,147,1,Executando,147
265,147,2,Executando,147
266,148,1,Executando,148
267,148,2,Executando,148
268,149,1,Executando,149
269,149,2,Executando,149
270,150,1,Executando,150
271,150,2,Executando,150
272,150,1,FimProcess,0
273,150,2,FimProcess,0
274,150,1,LiberaProcess,0
275,150,2,LiberaProcess,0
276,150,1,LiberaMem,0
